id,title,vote_average,vote_count,revenue,runtime,imdb_id,original_language,overview,popularity,genres,spoken_languages,keywords
27205,Inception,8.364,34495,825532764,148,tt1375666,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,"Action, Science Fiction, Adventure","English, French, Japanese, Swahili","rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious"
157336,Interstellar,8.417,32571,701729206,169,tt0816692,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,"Adventure, Drama, Science Fiction",English,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, thoughtful, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, complicated"
155,The Dark Knight,8.512,30619,1004558444,152,tt0468569,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,"Drama, Action, Crime, Thriller","English, Mandarin","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir"
19995,Avatar,7.573,29815,2923706026,162,tt0499549,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,"Action, Adventure, Fantasy, Science Fiction","English, Spanish","future, society, culture clash, space travel, space war, space colony, tribe, romance, alien, futuristic, space, alien planet, marine, soldier, battle, love affair, nature, anti war, power relations, joyful"
24428,The Avengers,7.71,29166,1518815515,143,tt0848228,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,"Science Fiction, Action, Adventure","English, Hindi, Russian","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
293660,Deadpool,7.606,28894,783100000,108,tt1431045,en,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",72.735,"Action, Adventure, Comedy",English,"superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger"
299536,Avengers: Infinity War,8.255,27713,2052415039,149,tt4154756,en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,"Adventure, Action, Science Fiction","English, Xhosa","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
550,Fight Club,8.438,27238,100853753,139,tt0137523,en,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,Drama,English,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness"
118340,Guardians of the Galaxy,7.906,26638,772776600,121,tt2015381,en,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,"Action, Science Fiction, Adventure",English,"spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
680,Pulp Fiction,8.488,25893,213900000,154,tt0110912,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",74.862,"Thriller, Crime","English, Spanish, French","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, hilarious"
13,Forrest Gump,8.477,25409,677387716,142,tt0109830,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",92.693,"Comedy, Drama, Romance",English,"vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship, loving, feel-good"
671,Harry Potter and the Philosopher's Stone,7.916,25379,976475550,152,tt0241527,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",185.482,"Adventure, Fantasy",English,"witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, shopping, fantasy world, wizard, christmas, based on young adult novel, owl, wizarding world"
1726,Iron Man,7.64,24874,585174222,126,tt0371746,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",72.897,"Action, Science Fiction, Adventure","English, Persian, Urdu, Arabic","middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism"
68718,Django Unchained,8.171,24672,425368238,165,tt1853728,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",54.224,"Drama, Western","English, French, German","rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi"
278,The Shawshank Redemption,8.702,24649,28341469,142,tt0111161,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",122.61,"Drama, Crime",English,"prison, friendship, police brutality, corruption, based on novel or book, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover"
299534,Avengers: Endgame,8.263,23857,2800000000,181,tt4154796,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",91.756,"Adventure, Science Fiction, Action","English, Japanese, Xhosa","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship"
603,The Matrix,8.206,23815,463517383,136,tt0133093,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",78.564,"Action, Science Fiction",English,"man vs machine, martial arts, dream, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, woman director, messiah, action hero, gnosticism, complex"
597,Titanic,7.9,23637,2264162353,194,tt0120338,en,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",102.348,"Drama, Romance","English, French, German, Swedish, Italian, Russian","epic, ship, drowning, panic, shipwreck, evacuation, iceberg, titanic, forbidden love, ocean liner, based on true story, rich woman poor man, love, tragedy, tragic love, disaster, historical fiction, class differences, love affair, historical event, lifeboat, star crossed lovers, sinking ship, steerage, rich snob, disaster movie, 1910s, sunken ship, absurd, sinister, romantic, tragic"
475557,Joker,8.168,23425,1074458282,122,tt7286456,en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",54.522,"Crime, Thriller, Drama",English,"dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness, depressing"
120,The Lord of the Rings: The Fellowship of the Ring,8.402,23323,871368364,179,tt0120737,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",87.037,"Adventure, Fantasy, Action",English,"based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, new zealand, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery, nz"
122,The Lord of the Rings: The Return of the King,8.474,22334,1118888979,201,tt0167260,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",99.276,"Adventure, Fantasy, Action",English,"based on novel or book, orcs, elves, dwarf, bravery, suspicion, volcano, addiction, honor, royalty, troll, brutality, ghost, wizard, quest, live action and animation, sword and sorcery"
11324,Shutter Island,8.2,22318,294800000,138,tt1130884,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",56.595,"Drama, Thriller, Mystery","English, German","island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s"
106646,The Wolf of Wall Street,8.035,22222,392000000,180,tt0993846,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",97.444,"Crime, Drama, Comedy","English, French","corruption, drug addiction, anti hero, con man, fraud, wall street, based on true story, rise and fall, con artist, money, stockbroker, wealthy, drugs, stripping, hedonism, decadence, corrupt, 1980s, sharemarket fraud, financial market, black monday, joyful"
99861,Avengers: Age of Ultron,7.276,21754,1405403694,141,tt2395427,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",96.565,"Action, Adventure, Science Fiction",English,"artificial intelligence (a.i.), superhero, based on comic, sequel, superhero team, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, evil robot"
271110,Captain America: Civil War,7.4,21541,1155046416,147,tt3498820,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",70.741,"Adventure, Action, Science Fiction","Romanian, English, German, Russian","civil war, superhero, based on comic, sequel, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), excited"
49026,The Dark Knight Rises,7.777,21335,1081041287,165,tt1345836,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",76.914,"Action, Crime, Drama, Thriller",English,"fight, burglar, hostage, secret identity, crime fighter, superhero, villainess, time bomb, based on comic, cover-up, vigilante, tragic hero, mobile, terrorism, destruction, fighting, criminal underworld, cat burglar, flood"
68721,Iron Man 3,6.928,21064,1215577205,130,tt1300854,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",61.06,"Action, Adventure, Science Fiction",English,"california, war on terror, superhero, malibu, based on comic, tennessee, billionaire, aftercreditsstinger, marvel cinematic universe (mcu), christmas, america"
